epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.2181,0.98756,3.74388,1.14317,0.7949,0.2,0.26793,0.22358,0.69562,2.6659,0.96063,5.555e-05,5.555e-05,5.555e-05
2,30.9131,0.75912,2.22216,1.02265,0.8379,0.64286,0.79977,0.70518,0.53014,2.11638,0.902,0.000120194,0.000120194,0.000120194
3,33.5372,0.65067,1.25941,0.96124,0.88133,0.79571,0.90739,0.82128,0.5047,1.26193,0.88646,0.000182637,0.000182637,0.000182637
4,35.9249,0.6295,0.98006,0.93107,0.91809,0.93549,0.95672,0.85484,0.51134,0.86415,0.88093,0.000242881,0.000242881,0.000242881
5,38.9859,0.61964,0.84023,0.93853,0.97683,0.90306,0.96755,0.84605,0.53431,0.64667,0.86965,0.000300925,0.000300925,0.000300925
6,41.4721,0.64082,0.7886,0.95458,0.89429,0.88002,0.89928,0.79056,0.56086,0.65603,0.87791,0.00035677,0.00035677,0.00035677
7,43.7312,0.64252,0.7477,0.95379,0.93464,0.96833,0.97108,0.81058,0.62618,0.59391,0.90482,0.000410415,0.000410415,0.000410415
8,46.0119,0.65562,0.78131,0.93659,0.94046,0.87091,0.96086,0.77965,0.71988,0.62148,0.94886,0.000461859,0.000461859,0.000461859
9,48.2886,0.66218,0.6947,0.99695,0.96781,0.84412,0.93481,0.79086,0.68816,0.74107,0.96082,0.000511104,0.000511104,0.000511104
10,50.9753,0.59546,0.62685,0.9287,0.9614,0.92899,0.95265,0.78982,0.75789,0.58628,0.96603,0.00055815,0.00055815,0.00055815
11,53.5935,0.64371,0.62284,0.94098,0.8996,0.87781,0.94431,0.80255,0.62338,0.5949,0.92412,0.000602995,0.000602995,0.000602995
12,55.8691,0.6116,0.57485,0.93381,0.95919,0.96172,0.97108,0.81489,0.68586,0.55944,0.96074,0.000645641,0.000645641,0.000645641
13,58.1422,0.62878,0.57031,0.96363,0.89691,0.93609,0.97111,0.80678,0.70191,0.52735,0.95219,0.000686087,0.000686087,0.000686087
14,60.363,0.66318,0.55586,0.96529,0.93539,0.90315,0.9381,0.78823,0.70587,0.51933,0.95307,0.000724333,0.000724333,0.000724333
15,62.5798,0.67302,0.55583,0.98587,0.95247,0.90833,0.94118,0.79857,0.65869,0.48933,0.92351,0.00076038,0.00076038,0.00076038
16,65.5807,0.64261,0.54976,0.96689,0.93611,0.97257,0.97109,0.85959,0.56369,0.49736,0.89866,0.000794226,0.000794226,0.000794226
17,67.8169,0.61768,0.52273,0.94965,0.93239,0.89439,0.97112,0.84012,0.60716,0.59656,0.91948,0.000817696,0.000817696,0.000817696
18,69.9921,0.65217,0.54044,0.97648,0.9312,0.89551,0.97123,0.84278,0.59692,0.62366,0.91398,0.000799365,0.000799365,0.000799365
19,72.1765,0.62463,0.539,0.94638,0.92486,0.91192,0.96187,0.82067,0.63943,0.57743,0.92138,0.000781033,0.000781033,0.000781033
20,74.4273,0.61321,0.50565,0.95466,0.90952,0.93472,0.97137,0.84626,0.64756,0.49711,0.93249,0.000762702,0.000762702,0.000762702
21,77.1338,0.57138,0.47689,0.91104,0.96586,0.95107,0.97142,0.85913,0.59425,0.47445,0.91818,0.00074437,0.00074437,0.00074437
22,79.7516,0.59201,0.48452,0.96318,0.87406,0.94821,0.95513,0.83034,0.57742,0.47387,0.90114,0.000726038,0.000726038,0.000726038
23,81.919,0.56355,0.45932,0.93016,0.90619,0.94643,0.96834,0.8449,0.5871,0.44515,0.91082,0.000707707,0.000707707,0.000707707
24,84.1552,0.56938,0.45601,0.92472,0.95067,0.95314,0.97203,0.85699,0.58908,0.40323,0.90581,0.000689376,0.000689376,0.000689376
25,86.3277,0.52198,0.4388,0.90421,0.97586,0.975,0.9722,0.85178,0.57918,0.36219,0.88845,0.000671044,0.000671044,0.000671044
